Date,Close,High,Low,Open,Volume
2010-06-29,23.89,25.0,17.54,19.0,18783276
2010-06-30,23.83,30.4192,23.3,25.96,17194394
2010-07-01,21.96,25.92,20.27,25.0,8216789
2010-07-02,19.2,23.1,18.71,23.0,5135795
2010-07-05,19.2,19.2,19.2,19.2,0
2010-07-06,16.11,20.0,15.83,20.0,6852634
2010-07-07,15.8,16.63,14.98,16.4,6924914
2010-07-08,17.46,17.52,15.57,16.14,7710937
2010-07-09,17.4,17.9,16.55,17.58,4048536
2010-07-12,17.05,18.07,17.0,17.95,2198722
2010-07-13,18.14,18.64,16.9,17.55,2680060
2010-07-14,19.84,20.15,17.7601,17.94,4193209
2010-07-15,19.89,21.5,19.0,19.94,3740126
2010-07-16,20.64,21.3,20.05,20.7,2620110
2010-07-19,21.91,22.25,20.92,21.35,2486489
2010-07-20,20.3,21.85,20.05,21.85,1824154
2010-07-21,20.22,20.9,19.5,20.66,1251292
2010-07-22,21.0,21.25,20.37,20.5,962345
2010-07-23,21.29,21.56,21.06,21.19,653549
2010-07-26,20.95,21.5,20.3,21.5,922178
2010-07-27,20.55,21.18,20.26,20.91,619675
2010-07-28,20.72,20.9,20.51,20.55,467183
2010-07-29,20.35,20.88,20.0,20.77,615910
2010-07-30,19.94,20.44,19.55,20.2,426830
2010-08-02,20.92,20.97,20.333,20.38,718245
2010-08-03,21.95,21.95,20.82,21.0,1230349
2010-08-04,21.26,22.18,20.85,21.95,912526
2010-08-05,20.45,21.55,20.05,21.54,796380
2010-08-06,19.59,20.1601,19.52,20.1,741838
2010-08-09,19.6,19.98,19.45,19.9,812656
2010-08-10,19.03,19.65,18.82,19.65,1281286
2010-08-11,17.9,18.88,17.85,18.69,797650
2010-08-12,17.6,17.9,17.39,17.8,690241
2010-08-13,18.32,18.45,17.6604,18.18,633871
2010-08-16,18.78,18.8,18.2616,18.49,473437
2010-08-17,19.15,19.4,18.78,18.96,447881
2010-08-18,18.77,19.59,18.6,19.59,599532
2010-08-19,18.79,19.25,18.33,18.54,579082
2010-08-20,19.1,19.11,18.5101,18.65,295144
2010-08-23,20.13,20.3891,19.0,19.09,1088029
2010-08-24,19.2,19.71,18.95,19.31,672974
2010-08-25,19.9,19.98,18.56,19.16,503289
2010-08-26,19.75,20.27,19.6,19.89,433286
2010-08-27,19.7,19.865,19.5,19.75,379542
2010-08-30,19.87,20.19,19.61,19.7,732631
2010-08-31,19.48,19.79,19.33,19.66,201012
2010-09-01,20.45,20.69,19.6,19.62,494885
2010-09-02,21.06,21.24,20.3103,20.37,487060
2010-09-03,21.05,21.3,20.66,20.87,434756
2010-09-06,21.05,21.05,21.05,21.05,0
2010-09-07,20.54,21.0,20.5,20.61,243335
2010-09-08,20.9,20.95,20.6,20.66,288382
2010-09-09,20.71,21.05,20.69,21.0,376197
2010-09-10,20.17,20.93,19.76,20.75,386571
2010-09-13,20.72,20.8995,20.5,20.89,360703
2010-09-14,21.12,21.6,20.53,20.54,639396
2010-09-15,21.98,22.0,20.79,20.98,684758
2010-09-16,20.94,23.16,20.84,22.02,2684080
2010-09-17,20.23,21.32,19.8,21.02,1198458
2010-09-20,21.055,21.35,20.16,20.67,947475
2010-09-21,20.77,21.55,20.67,20.89,796000
2010-09-22,19.87,20.95,19.8,20.87,962816
2010-09-23,19.56,20.14,19.5,19.89,668076
2010-09-24,20.1,20.19,19.65,19.95,578987
2010-09-27,20.53,20.81,20.05,20.4,418597
2010-09-28,21.4,21.49,20.76,21.04,1214465
2010-09-29,21.98,22.03,21.13,21.19,1968897
2010-09-30,20.405,22.1499,20.19,22.0,1814134
2010-10-01,20.6,20.75,20.31,20.69,599071
2010-10-04,20.99,21.17,20.3,20.43,643599
2010-10-05,21.12,21.28,21.01,21.15,331936
